document,contributor_iri,contributor_literal,contributor_role,role_uri,affiliation,affiliation_uri
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,author,http://www.wikidata.org/entity/Q482980,TDWG Darwin Core Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0002-4419-6960,Stan Blum,author,http://www.wikidata.org/entity/Q482980,TDWG Process Interest Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0002-6992-9446,Robert A. Morris,author,http://www.wikidata.org/entity/Q482980,"UMASS-Boston, TDWG Imaging Interest Group",http://www.wikidata.org/entity/Q15144
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0001-7694-8250,Jonathan Rees,author,http://www.wikidata.org/entity/Q482980,Duke University,http://www.wikidata.org/entity/Q168751
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0001-8332-2571,Joel Sachs,author,http://www.wikidata.org/entity/Q482980,TDWG RDF Task Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0002-2954-9027,Greg Whitbread,author,http://www.wikidata.org/entity/Q482980,TDWG Technical Architecture Group,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0002-2352-5497,Dag Endresen,review manager,http://www.wikidata.org/entity/Q2462658,GBIF Norway/NHM University of Oslo,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/guid/doc/guidas/,http://www.wikidata.org/entity/Q51883936,Kevin Richards,lead author,http://www.wikidata.org/entity/Q482980,Landcare Research,http://www.wikidata.org/entity/Q1801980
http://rs.tdwg.org/guid/doc/guidas/,https://orcid.org/0000-0002-6108-0572,Ben Richardson,review manager,http://www.wikidata.org/entity/Q2462658,"Department of Environment and Conservation, Western Australia",http://www.wikidata.org/entity/Q1191429
http://rs.tdwg.org/guid/doc/lsidas/,http://www.wikidata.org/entity/Q51883958,Ricardo Pereira,author,http://www.wikidata.org/entity/Q482980,TDWG Infrastructure Project,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/guid/doc/lsidas/,http://www.wikidata.org/entity/Q51883936,Kevin Richards,author,http://www.wikidata.org/entity/Q482980,Landcare Research,http://www.wikidata.org/entity/Q1801980
http://rs.tdwg.org/guid/doc/lsidas/,https://orcid.org/0000-0001-6492-4016,Donald Hobern,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/guid/doc/lsidas/,https://orcid.org/0000-0003-4581-1379,Roger Hyam,author,http://www.wikidata.org/entity/Q482980,TDWG Infrastructure Project,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/guid/doc/lsidas/,https://orcid.org/0000-0001-8900-6203,Lee Belbin,author,http://www.wikidata.org/entity/Q482980,TDWG Infrastructure Project,http://www.wikidata.org/entity/Q4914768
http://rs.tdwg.org/guid/doc/lsidas/,https://orcid.org/0000-0002-4419-6960,Stanley Blum,author,http://www.wikidata.org/entity/Q482980,California Academy of Sciences,http://www.wikidata.org/entity/Q965731
http://rs.tdwg.org/guid/doc/lsidas/,https://orcid.org/0000-0002-6108-0572,Ben Richardson,review manager,http://www.wikidata.org/entity/Q2462658,"Department of Environment and Conservation, Western Australia",http://www.wikidata.org/entity/Q1191429
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0003-1144-0290,John Wieczorek,lead author,http://www.wikidata.org/entity/Q482980,Museum of Vertebrate Zoology at Berkeley,http://www.wikidata.org/entity/Q1954759
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0001-7757-1889,Markus Döring,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,author,http://www.wikidata.org/entity/Q482980,Centro de Referência em Informação Ambiental,http://www.wikidata.org/entity/Q29168927
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0001-6215-3617,Tim Robertson,author,http://www.wikidata.org/entity/Q482980,Global Biodiversity Information Facility,http://www.wikidata.org/entity/Q1531570
