current_iri,version_iri
http://rs.tdwg.org/dwc/doc/pw/,http://rs.tdwg.org/dwc/doc/pw/2021-09-01
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2021-02-01
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2021-10-05
http://rs.tdwg.org/ac/doc/structure/,http://rs.tdwg.org/ac/doc/structure/2021-10-05
http://rs.tdwg.org/dwc/terms/simple/,http://rs.tdwg.org/dwc/terms/simple/2021-07-15
http://rs.tdwg.org/dwc/terms/guides/text/,http://rs.tdwg.org/dwc/terms/guides/text/2021-07-15
http://rs.tdwg.org/ac/doc/subtype/,http://rs.tdwg.org/ac/doc/subtype/2023-02-24
http://rs.tdwg.org/ac/doc/format/,http://rs.tdwg.org/ac/doc/format/2023-02-24
http://rs.tdwg.org/ac/doc/guide/,http://rs.tdwg.org/ac/doc/guide/2023-02-24
http://rs.tdwg.org/ac/doc/introduction/,http://rs.tdwg.org/ac/doc/introduction/2023-02-24
http://rs.tdwg.org/ac/doc/structure/,http://rs.tdwg.org/ac/doc/structure/2023-02-24
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2023-02-24
http://rs.tdwg.org/ac/doc/variant/,http://rs.tdwg.org/ac/doc/variant/2023-02-24
http://rs.tdwg.org/ac/doc/orient/,http://rs.tdwg.org/ac/doc/orient/2023-04-26
http://rs.tdwg.org/ac/doc/part/,http://rs.tdwg.org/ac/doc/part/2023-04-26
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2023-06-28
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2023-07-07
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2023-09-05
