rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventDate,eventDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EarliestDateCollected,http://rs.tdwg.org/dwc/terms/,EarliestDateCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventTime,eventTime,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EndTimeOfDay,http://rs.tdwg.org/dwc/terms/,EndTimeOfDay
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,eventMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeAccuracy,http://rs.tdwg.org/dwc/terms/,EventAttributeAccuracy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,eventMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedBy,http://rs.tdwg.org/dwc/terms/,EventAttributeDeterminedBy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,eventMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedDate,http://rs.tdwg.org/dwc/terms/,EventAttributeDeterminedDate
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementID,eventMeasurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeID,http://rs.tdwg.org/dwc/terms/,EventAttributeID
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SamplingAttributeType,SamplingAttributeType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeType,http://rs.tdwg.org/dwc/terms/,EventAttributeType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementType,eventMeasurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeType,http://rs.tdwg.org/dwc/terms/,EventAttributeType
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementUnit,eventMeasurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeUnit,http://rs.tdwg.org/dwc/terms/,EventAttributeUnit
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/eventMeasurementValue,eventMeasurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventAttributeValue,http://rs.tdwg.org/dwc/terms/,EventAttributeValue
http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,MeasurementOrFact,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/EventMeasurement,http://rs.tdwg.org/dwc/terms/,EventMeasurement
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementAccuracy,measurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/,eventMeasurementAccuracy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,eventMeasurementDeterminedBy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,eventMeasurementDeterminedDate
