document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_broader,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type
2023-05-07T20:14:27-05:00,p0021,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,foreleg,p0016,p,Leg of the prothoracic segment,http://purl.obolibrary.org/obo/UBERON_6004663,,,https://www.morphbank.net/?id=861240,foreleg,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0022,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,midleg,p0016,p,Leg of the mesothoracic segment,http://purl.obolibrary.org/obo/FBbt_00004685,,,https://www.morphbank.net/?id=102967,midleg,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0023,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,hindleg,p0016,p,Leg of the metathoracic segment,http://purl.obolibrary.org/obo/FBbt_00004707,,,https://www.morphbank.net/?id=468627,hindleg,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0024,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,eye,,p,An organ that detects light,http://purl.obolibrary.org/obo/UBERON_0000970,,,https://commons.wikimedia.org/wiki/File:Compound_eye_of_a_Bumblebee.jpg,eye,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0025,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,shell,,p,A rigid covering that envelops an object,http://purl.obolibrary.org/obo/UBERON_0006612,,,https://www.inaturalist.org/photos/251026905,shell,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0026,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,genitalia,,p,The outer sex organs,http://purl.obolibrary.org/obo/UBERON_0004176,,,"https://commons.wikimedia.org/wiki/File:Dragonfly,_U,_genitalia_top_2013-01-11-14.10.09_ZS_PMax_(8372440610).jpg",genitalia,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0027,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,skull,,p,The part of the head consisting entirely of cranium and mandible,http://purl.obolibrary.org/obo/UBERON_0003129,,,https://www.inaturalist.org/photos/251216754,skull,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0028,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,cranium,p0027,p,Upper portion of the skull,http://purl.obolibrary.org/obo/UBERON_0003128,,,http://arctos.database.museum/media/10508734,cranium,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0029,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,mandible,p0027,p,A dentary bone that is the only bone in one of the lateral halves of the lower jaw,http://purl.obolibrary.org/obo/UBERON_0001684,,,http://arctos.database.museum/media/10473443,mandible,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0030,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,fin,,p,An external projection of an aquatic animal used in propelling or guiding the body,http://purl.obolibrary.org/obo/UBERON_0008897,,,https://www.inaturalist.org/photos/249623779,fin,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0031,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,egg,,p,The hard-shelled reproductive body produced by an animal,http://purl.obolibrary.org/obo/UBERON_0007379,,,http://arctos.database.museum/media/10517057,egg,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T20:14:27-05:00,p0032,http://rs.tdwg.org/acpart/values/,2023-04-26,2023-04-26,,,,,bud,,p,An undeveloped shoot system,http://purl.obolibrary.org/obo/PO_0000055,,,http://bioimages.vanderbilt.edu/baskauf/16256,bud,http://www.w3.org/2004/02/skos/core#Concept
