document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
2021-06-27T22:26:15-05:00,CommissionedBy,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CommissionedBy,Company or organisation who commissioned the borehole or well.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Certainty,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Certainty,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-Person,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists Person,Person type from the abcd schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AlterationDegree,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AlterationDegree,Free text describing the degree of alteration or metamorphic phase that has affected a rock. [This element may need to be split into hydrothermal mineralogical change and metamorphic phases],,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-MeasurementOrFactReference,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement MeasurementOrFactReference,Reference (publication) where this measurement was taken from.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-UpperValue,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement UpperValue,Upper value where there is a range.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Bioerosion,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Bioerosion,"Free text description of damage due to biological action, such as, boring worms and sponges.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-DayNumberBegin,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime DayNumberBegin,Julian day number in the year for the exact date or for the beginning day of a period,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-MeasurementDateTime,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement MeasurementDateTime,Date and/or Time the measurement was taken.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-UnitOfMeasurement,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement UnitOfMeasurement,Unit of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,DistanceFromBaseline,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,DistanceFromBaseline,Number representing distance measured.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-URI,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement URI,Universal Resource Identifier - Path to electronic source of document.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-ISODateTimeEnd,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime ISODateTimeEnd,The end of a period expressed in a modified ISO/ANSI 8601 standard structured format.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,HostRockStratigraphy BiostratigraphicAttribution Abbreviation,"Restricted to 50 characters maximum length, including blanks (recommended to be shorter!). Label abbreviations are especially important when displaying information in a tabular format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-ExactDate,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime ExactDate,Uses DateTime element from ABCD.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-Prefix,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists Prefix,"Prefix to inherited name that should be output before name, but is usually not included in sorting. Examples: 'von', 'Lord'. Compare Title for 'Prof', 'Dr.' (vCard:N.Prefix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-InheritedName,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists InheritedName,"Family names, generational names, clan name, parents/grandparents personal names, etc. This (= last name in western cultures) may be compound ('Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture it is not necessarily the name of the parents nor common to the married couple and children, thus 'family name' should be avoided even though used in vCard.  (vCard:N.Family)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-FullName,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists FullName,Preferred form of personal name for display as a string.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Borehole,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Borehole,Container for details specific to boreholes and wells. Does not contain spatial reference as this and details of platform etc. are under Gathering in main ABCD schema - but they could be copied to make an independent schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-OrgUnits,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists OrgUnits,If the contact contains no person definition: the unit within the organization the agent represents; else a list of the various organisational units to which a person may belong. (vCard:OrgUnit),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-MeasuredBy,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement MeasuredBy,Attribution of the measurement to a Person,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,CrystalMeasurement-IsQuantitative,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,CrystalMeasurement IsQuantitative,Flag indicating if the value represents the numerical result of a quantitative measurement (TRUE) or a descriptor with textual or categorical result (FALSE).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,HostRockStratigraphy-BiostratigraphicAttribution-Accuracy,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,HostRockStratigraphy BiostratigraphicAttribution Accuracy,Statement of accuracy of measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisDateTime-PeriodExplicit,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisDateTime PeriodExplicit,"Set to True if the event takes place for the period indicated, set to False if it occurs at some point of time during the period, not filled if unknown or no period specified.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,AnalysisReferences-URI,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,AnalysisReferences URI,Universal Resource Identifier - Path to electronic source of document.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Encrustation,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Encrustation,"Free text description of biological encrustations, such as oysters and tube worms.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,HoleDiameter,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,HoleDiameter,Diameter of the borehole in milliimetres.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Geologists-GivenNames,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Geologists GivenNames,"The name given to a person as a personal name (= first or christian name in western cultures, including 'middle initials') may contain several words ('Ana Maria', 'Jerry B.'). Applicable only to persons. (vCard:N.Given + vCard:N.Middle)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
2021-06-27T22:26:15-05:00,Articulation,http://rs.tdwg.org/efg/terms/,2021-06-27,2021-06-27,,,,,Articulation,"Free text description of the articulation in the preserved specimen - applies to invertebrate shells and exoskeletons as well as vertebrate skeletons. e.g. articulated, dis-articulated, single valves etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
