document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,rdf_type,term_localName
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,CollectionCode-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Collection Code,A unique alphanumeric value which identifies the collection within the institution,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionCode
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,CollectionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,,,Collection Code,A unique alphanumeric value that identifies the collection within the institution in which the item is cataloged. This attribute must contain no spaces.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionCode
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,Collector-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Collector,The name(s) of the collector(s) responsible for collection the specimen or taking the observation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Collector
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,Collector-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,,,Collector,The name(s) of the collector(s) of the original data for the cataloged item.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Collector
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-13,CollectorNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Collector Number,"An identifying ""number"" (really a string) applied to specimens (in some disciplines) at the time of collection. Establishes a links different parts/preparations of a single specimen and between field notes and the specimen.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectorNumber
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,CollectorNumber-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-13,,,Collector Number,An identifying string applied to the cataloged item at the time of collection. Serves as a link between field notes and the cataloged items.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectorNumber
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-13,ContinentOcean-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Continent Ocean,The continent or ocean from which a specimen was collected.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ContinentOcean
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,ContinentOcean-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-13,,,Continent Ocean,"The full, unabbreviated name of the continent or ocean from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ContinentOcean
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinatePrecision-2003-06-13,CoordinatePrecision-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,Coordinate Precision,"An estimate of how tightly the collecting locality was specified; expressed as a distance, in meters, that corresponds to a radius around the latitude-longitude coordinates. Use NULL where precision is unknown, cannot be estimated, or is not applicable.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CoordinatePrecision
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinateUncertaintyInMeters-2003-06-17,CoordinateUncertaintyInMeters-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinatePrecision-2003-06-13,,,Coordinate Uncertainty In Meters,"The upper limit of the distance (in meters) from the given latitude and longitude describing a circle within which the whole of the described locality must lie. Use NULL where the uncertainty is unknown, cannot be estimated, or is not applicable.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CoordinateUncertaintyInMeters
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-13,Country-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Country,The country or major political unit from which the specimen was collected. ISO 3166-1 (http://www.din.de/gremien/nas/nabd/iso3166ma/codlstp1/db_en.html) values should be used. Full country names are currently in use. A future recommendation is to use ISO3166-1 two letter codes or the full name when searching,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Country
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-17,Country-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-13,,,Country,"The full, unabbreviated name of the country or major political unit from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Country
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-13,County-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,County,"The county (or shire, or next political region smaller than State / Province) from which the specimen was collected",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,County
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-17,County-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-13,,,County,"The full, unabbreviated name of the county, shire, or municipality (i.e., the next smaller political region than StateProvince) from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,County
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-13,DateLastModified-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Date Last Modified,"ISO 8601 compliant stamp indicating the date and time in UTC(GMT) when the record was last modified. Example: the instant ""November 5, 1994, 8:15:30 am, US Eastern Standard Time"" would be represented as ""1994-11-05T13:15:30Z"" (see W3C Note on Date and Time Formats - http://www.w3.org/TR/NOTE-datetime). (What to do when this date-time is unknown? Use Date-Time first ""published""?)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DateLastModified
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-17,DateLastModified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-13,,,Date Last Modified,"ISO 8601 date and time in UTC(GMT) when the record was last modified. Example: ""November 5, 1994, 8:15:30 am, US Eastern Standard Time"" would be ""1994-11-05T13:15:30Z"" (see http://www.w3.org/TR/NOTE-datetime).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DateLastModified
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-13,DayCollected-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Day Collected,The day of the month the specimen was collected from the field. Possible value ranges from 01..31 inclusive,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DayCollected
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-17,DayCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-13,,,Day Collected,The two digit day of the month in the Common Era calendar during which the cataloged item was collected from the field.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DayCollected
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-13,DayIdentified-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Day Identified,The day portion of the date when the Collection Item was identified; as two digits [01..31].,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DayIdentified
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-17,DayIdentified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-13,,,Day Identified,The two digit day of the month in the Common Era calendar during which the cataloged item was identified.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DayIdentified
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLatitude-2003-06-17,DecimalLatitude-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Latitude-2003-06-13,,,Decimal Latitude,"The latitude of the location from which the cataloged item was collected, expressed in decimal degrees.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DecimalLatitude
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLongitude-2003-06-17,DecimalLongitude-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Longitude-2003-06-13,,,Decimal Longitude,"The longitude of the location from which the cataloged item was collected, expressed in decimal degrees.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DecimalLongitude
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Family-2003-06-13,Family-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Family,The family name of the organism,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Family
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Family-2003-06-17,Family-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Family-2003-06-13,,,Family,The phylogenetic family to which the cataloged item belongs.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Family
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNotes-2003-06-17,FieldNotes-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Field Notes,"A reference to, or flag marking the existence of notes taken in the field for the cataloged item.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,FieldNotes
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNumber-2003-06-13,FieldNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Field Number,"A ""number"" (really a string) created at collection time to identify all material that resulted from a collecting event.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,FieldNumber
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNumber-2003-06-17,FieldNumber-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNumber-2003-06-13,,,Field Number,An identifying string applied to a set of material that resulted from a single collecting event.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,FieldNumber
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/GenBankNum-2003-06-17,GenBankNum-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Gen Bank Num,GenBank Accession number.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GenBankNum
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Genus-2003-06-13,Genus-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Genus,The genus name of the organism,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Genus
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Genus-2003-06-17,Genus-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Genus-2003-06-13,,,Genus,The phylogenetic genus to which the cataloged item belongs.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Genus
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/GeorefMethod-2003-06-17,GeorefMethod-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Georef Method,A reference to the methods used for determining the coordinates and uncertainties.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,GeorefMethod
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HigherGeography-2003-06-17,HigherGeography-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Higher Geography,"The combination of all geographic elements less specific than locality. ""Like"" query operations on this element will search for a substring in any of the higher geography attributes.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,HigherGeography
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HigherTaxon-2003-06-17,HigherTaxon-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Higher Taxon,"The combination of names of taxonomic ranks less specific than Genus. ""Like"" query operations on this element will search for a substring in any of the higher taxon attributes.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,HigherTaxon
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HorizontalDatum-2003-06-17,HorizontalDatum-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Horizontal Datum,The horizontal geodetic datum to which the DecimalLatitude and DecimalLongitude refer.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,HorizontalDatum
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentificationModifier-2003-06-17,IdentificationModifier-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Identification Modifier,"Additional information documenting the taxonomic determination of the cataloged item (e.g., ""cf."", ""aff."", ""subspecies in question"", etc.).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,IdentificationModifier
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentifiedBy-2003-06-13,IdentifiedBy-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Identified By,The name(s) of the person(s) who applied the currently accepted Scientific Name to the Cataloged Item.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,IdentifiedBy
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentifiedBy-2003-06-17,IdentifiedBy-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentifiedBy-2003-06-13,,,Identified By,The name(s) of the person(s) who applied the currently accepted ScientificName to the cataloged item.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,IdentifiedBy
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IndividualCount-2003-06-13,IndividualCount-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Individual Count,The number of individuals present in the lot or container. Not an estimate of abundance or density at the collecting locality.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,IndividualCount
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IndividualCount-2003-06-17,IndividualCount-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IndividualCount-2003-06-13,,,Individual Count,The number of individuals present in the lot or container referred to by the catalog number. Not an estimate of abundance or density at the collecting locality.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,IndividualCount
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/InstitutionCode-2003-06-13,InstitutionCode-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Institution Code,"A ""standard"" code identifier that identifies the institution to which the collection belongs. No global registry exists for assigning institutional codes. Use the code that is ""standard"" in your discipline.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,InstitutionCode
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/InstitutionCode-2003-06-17,InstitutionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/InstitutionCode-2003-06-13,,,Institution Code,"A code that identifies the institution to which the cataloged item belongs. No global registry exists for institutional codes; use the code that is ""standard"" in your discipline. This attribute must contain no spaces.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,InstitutionCode
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Island-2003-06-17,Island-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Island,"The full, unabbreviated name of the island from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Island
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IslandGroup-2003-06-17,IslandGroup-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Island Group,"The full, unabbreviated name of the island group from which the cataloged item was collected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,IslandGroup
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/JulianDay-2003-06-13,JulianDay-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Julian Day,"The ordinal day of the year; i.e., the number of days since January 1 of the same year. (January 1 is Julian Day 1.)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,JulianDay
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/JulianDay-2003-06-17,JulianDay-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/JulianDay-2003-06-13,,,Julian Day,"The ordinal day of the year (i.e., the number of days since December 31 of the previous year; January 1 is Julian Day 1) on which the cataloged item was collected. May be derived from the YearCollected, MonthCollected, and DayCollected by the provider.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,JulianDay
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Kingdom-2003-06-13,Kingdom-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Kingdom,The kingdom to which the organism belongs,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Kingdom
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Kingdom-2003-06-17,Kingdom-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Kingdom-2003-06-13,,,Kingdom,The phylogenetic kingdom to which the cataloged item belongs.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Kingdom
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Latitude-2003-06-13,Latitude-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,Latitude,The latitude of the location from which the specimen was collected. This value should be expressed in decimal degrees with a datum such as WGS-84,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Latitude
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/LatLongComments-2003-06-17,LatLongComments-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,,,,Lat Long Comments,Comments about the LatLong determination.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,LatLongComments
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Locality-2003-06-13,Locality-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,Locality,"The locality description (place name plus optionally a displacement from the place name) from which the specimen was collected. Where a displacement from a location is provided, it should be in un-projected units of measurement",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Locality
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Locality-2003-06-17,Locality-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Locality-2003-06-13,,,Locality,"The description of the locality from which the cataloged item was collected, sans geographic information provided in other geographic fields.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Locality
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Longitude-2003-06-13,Longitude-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,Longitude,The longitude of the location from which the specimen was collected. This value should be expressed in decimal degrees with a datum such as WGS-84,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Longitude
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/MaximumDepth-2003-06-13,MaximumDepth-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,Maximum Depth,"The maximum distance in meters below the surface of the water at which the collection was made; all material collected was at most this deep. Positive below the surface, negative above (e.g. collecting above sea level in tidal areas).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MaximumDepth
