document,lead_author,author,editor,translator,reviewer,review_manager,contributor,contributor_role,contributor_literal
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0003-3445-7562,contributor,Damiano Oldoni
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0002-6298-5373,contributor,Sonia Vanderhoeven
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0003-4365-3135,contributor,Steve Baskauf
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0003-1700-6962,contributor,Arthur Chapman
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0003-3388-2241,contributor,Melodie McGeoch
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0001-8815-0078,contributor,Ramona Walls
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0003-1144-0290,contributor,John Wieczorek
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0003-0174-3239,contributor,John R.U. Wilson
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0002-6056-5084,contributor,Paula F F Zermoglio
http://rs.tdwg.org/dwc/doc/pw/,,,,,,,https://orcid.org/0000-0001-8338-5134,contributor,Annie Simpson
http://rs.tdwg.org/dwc/doc/chrono/,https://orcid.org/0000-0003-1144-0290,,,,,,,lead author,John Wieczorek
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0002-9284-8871,contributor,Laura Brenskelle
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0001-6682-1504,contributor,Robert Guralnick
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0002-4031-1968,contributor,Kitty Emery
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0002-1741-9997,contributor,Michelle LeFebvre
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0003-4740-286X,contributor,Neill Wallis
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0003-4365-3135,contributor,Steve Baskauf
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0002-8481-9034,contributor,Marie Elise Lecoq
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0001-5620-4764,contributor,Eric Kansa
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0001-7920-5321,contributor,Sarah Kansa
http://rs.tdwg.org/dwc/doc/chrono/,,,,,,,https://orcid.org/0000-0001-9325-3100,contributor,Denné Reed
http://rs.tdwg.org/tapir/doc/summary/,https://orcid.org/0000-0002-7104-7266,,,,,,,lead author,Renato De Giovanni
http://rs.tdwg.org/tapir/doc/specification/,https://orcid.org/0000-0002-7104-7266,,,,,,,lead author,Renato De Giovanni
http://rs.tdwg.org/tapir/doc/specification/,http://www.wikidata.org/entity/Q51883987,,,,,,,lead author,Charles Copp
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0002-4325-4030,,,,,,author,Anton Güntsch 
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0001-6492-4016,,,,,,author,Donald Hobern
http://rs.tdwg.org/tapir/doc/specification/,,http://www.wikidata.org/entity/Q51883962,,,,,,author,Javier de la Torre
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0003-1144-0290,,,,,,author,John Wieczorek
http://rs.tdwg.org/tapir/doc/specification/,,http://www.wikidata.org/entity/Q51883993,,,,,,author,Robert Gales
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/tapir/doc/specification/,,https://orcid.org/0000-0002-4419-6960,,,,,,author,Stanley Blum
http://rs.tdwg.org/tapir/doc/specification/,,http://www.wikidata.org/entity/Q51883997,,,,,,author,Perry Steven
http://rs.tdwg.org/tapir/doc/specification/,,,,,,http://www.wikidata.org/entity/Q51883977,,review manager,Piers Higgs
http://rs.tdwg.org/tapir/doc/xmlschema/,https://orcid.org/0000-0002-7104-7266,,,,,,,lead author,Renato De Giovanni
http://rs.tdwg.org/tapir/doc/conceptaliases/,https://orcid.org/0000-0002-7104-7266,,,,,,,lead author,Renato De Giovanni
http://rs.tdwg.org/tapir/doc/guide/,http://www.wikidata.org/entity/Q51883987,,,,,,,lead author,Charles Copp
http://rs.tdwg.org/tapir/doc/guide/,https://orcid.org/0000-0002-7104-7266,,,,,,,lead author,Renato De Giovanni
http://rs.tdwg.org/tapir/doc/guide/,,,,,https://orcid.org/0000-0001-8900-6203,,,reviewer,Lee Belbin
http://rs.tdwg.org/tapir/doc/guide/,,,,,https://orcid.org/0000-0001-7757-1889,,,reviewer,Markus Döring
http://rs.tdwg.org/tapir/doc/models/,https://orcid.org/0000-0002-7104-7266,,,,,,,lead author,Renato De Giovanni
http://rs.tdwg.org/abcd/doc/primer/,,https://orcid.org/0000-0003-2231-6228,,,,,,author,Neil Thomson
http://rs.tdwg.org/abcd/doc/primer/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/abcd/doc/primer/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/abcd/doc/primer/,,http://www.wikidata.org/entity/Q51883962,,,,,,author,Javier de la Torre
http://rs.tdwg.org/abcd/doc/primer/,,https://orcid.org/0000-0001-9945-7606,,,,,,author,Walter G. Berendsohn
http://rs.tdwg.org/abcd/doc/primer/,,https://orcid.org/0000-0002-3090-1761,,,,,,author,Wouter Addink
http://rs.tdwg.org/abcd/doc/primer/,,https://orcid.org/0000-0003-2863-2491,,,,,,author,William Ulate 
http://rs.tdwg.org/abcd/doc/xmlschema/,https://orcid.org/0000-0001-9945-7606,,,,,,,lead author,Walter G. Berendsohn
http://rs.tdwg.org/sdd/doc/introduction/,,https://orcid.org/0000-0001-7023-7386,,,,,,author,Gregor Hagedorn
