term_localName,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type,tdwgutility_organizedInClass
e026,OGG audio,,e,m032,ogg,file extension for OGG audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e027,OGG video,,e,m033,ogv,file extension for OGG video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e028,OGG multiplex,,e,m034,ogx,file extension for OGG multiplex,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e029,Kodak Photo CD image,,e,m035,pcd,file extension for Kodak Photo CD image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e030,QuickTime,,e,m014,mov,file extension for Apple QuickTime video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e031,Photoshop,,e,m036,psd,file extension for Photoshop images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e032,FLAC,,e,m038,flac,file extension for Free Lossless Audio Codec audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e033,MWA,,e,m039,wma,file extension for Windows Media Audio,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e034,WMV,,e,m040,wmv,file extension for Windows Media Video,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e035,ASF,,e,m041,asf,file extension for Advanced Systems Format,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e036,SVG,,e,m042,svg,file extension for SVG images,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e037,OBJ,,e,m062,obj,file extension for OBJ,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e038,gLTF binary,,e,m063,glb,file extension for Binary GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e039,gLTF,,e,m064,gltf,file extension for GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e040,VRML,,e,m065,wrl,file extension for Virtual Reality Modeling Language,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e041,DICOM,,e,m066,dcm,file extension for Digital Imaging and Communications in Medicine,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e042,MTL,,e,m067,mtl,file extension for OBJ Material Template Library,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e043,X3D VRML,,e,m017,x3dv,file extension for X3D VRML models,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e044,X3D XML,,e,m068,x3d,file extension for X3D XML models,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e045,CIFF raw image,,e,m069,crw,file extension for Camera Image File Format raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e046,CR3 raw image,,e,m070,cr3,file extension for Canon Raw 3 image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e047,ARW raw image,,e,m071,arw,file extension for Sony raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
e048,RW2 raw image,,e,m072,rw2,file extension for Panasonic raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept,e
