document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,term_localName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/DrillMethod-2021-06-27,DrillMethod-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,DrillMethod,"How the borehole or well was drilled e.g. reverse circulation drilling, diamond coring, percussion drilling, auger drilling, rotary/barber drilling etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DrillMethod
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/BottomSurface-2021-06-27,BottomSurface-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,BottomSurface,Container for details of bottom surface of layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,BottomSurface
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-SortingName-2021-06-27,Geologists-SortingName-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists SortingName,The full name with the elements in preferred sorting sequence (vCard: Sort-String).,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-SortingName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Suffix-2021-06-27,Geologists-Suffix-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Suffix,"Suffix to name that should be output after name, regardless whether it is in sorting sequence (Inherited, Given) or not. Examples: 'Jun.', 'III.'. (vCard:N.Suffix)",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Suffix
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Contractor-2021-06-27,Contractor-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Contractor,The drilling contractor who carried out the work.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Contractor
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/BottomSurfaceFeature-2021-06-27,BottomSurfaceFeature-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,BottomSurfaceFeature,Text describing features at the base of a layer or stratum.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,BottomSurfaceFeature
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/DatingQualifier-2021-06-27,DatingQualifier-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,DatingQualifier,"Allows for qualification of date terms e.g. early/lower, middle, late/upper.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DatingQualifier
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Organisation-2021-06-27,Geologists-Organisation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Organisation,Organisation type from the abcd schema.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Organisation
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasurementOrFactText-2021-06-27,CrystalMeasurement-MeasurementOrFactText-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement MeasurementOrFactText,Free text alternative to atomised version.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-MeasurementOrFactText
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisReferences-AnalysisReference-2021-06-27,AnalysisReferences-AnalysisReference-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisReferences AnalysisReference,Individual documentary reference linked to an analysis. Uses abcd:Reference Type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisReferences-AnalysisReference
