termList,term
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/geodeticDatum
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/georeferencedBy
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/georeferenceProtocol
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/georeferenceSources
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/georeferenceVerificationStatus
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/habitat
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/identificationQualifier
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/identificationVerificationStatus
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/identifiedBy
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/inCollection
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/inDataset
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/inDescribedPlace
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/informationWithheld
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/latestGeochronologicalEra
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/lifeStage
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/locationAccordingTo
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/measurementDeterminedBy
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/measurementMethod
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/measurementType
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/measurementUnit
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/occurrenceStatus
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/organismQuantityType
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/preparations
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/recordedBy
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/recordNumber
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/reproductiveCondition
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/sampleSizeUnit
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/samplingProtocol
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/sex
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/toTaxon
http://rs-test.tdwg.org/dwc/iri/,http://rs-test.tdwg.org/dwc/iri/typeStatus
