document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,sawsdlrdf_modelReference,type
2020-10-18T19:34:24-04:00,DesignPlan,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Design Plan,,DesignPlan,"Refers to drawings, sketches, prints, computer graphics, or works in other media depicting a building or any object viewed from above, geometrically represented as projected on a horizontal plane.",,See http://vocab.getty.edu/page/aat/300034104,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Diagram,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Diagram,,Diagram,Graphic designs intended to explain rather than simply represent. ,,See http://vocab.getty.edu/page/aat/300015387,"in geometry, a diagram may be a figure composed of lines, serving to illustrate a definition or statement, or to aid in the proof of a proposition",,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,Map,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Map,,Map,"Refers to graphic or photogrammetric representations of the Earth's surface or a part of it, including physical features and political boundaries, where each point corresponds to a geographical or celestial position according to a definite scale or projection.",,See http://vocab.getty.edu/page/aat/300028094,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,MusicalNotation,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Musical Notation,,MusicalNotation,General term for systems used to visually represent music through written words or standard notations.,,See http://vocab.getty.edu/page/aat/300417622,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,IdentificationKey,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Identification Key,,IdentificationKey,A taxonomic key used for identifying unknown organisms.,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,ScannedText,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Scanned Text,,ScannedText,A body of physical type or written matter transformed into an electronic format that can be used to reproduce the original material on a screen.  ,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,RecordedText,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Recorded Text,,RecordedText,A body of physical type or written matter read aloud by a narrator and recorded. ,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,RecordedOrganism,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Recorded Organism,,RecordedOrganism,The sounds produced by an organism or organisms recorded on an audio medium.,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,TaxonPage,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Taxon Page,,TaxonPage,A web page summarizing information about a particular taxon.,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,MultimediaLearningObject,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Multimedia Learning Object,,MultimediaLearningObject,Works that employ several distinct media forms to improve learning outcomes.,,,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,VirtualRealityEnvironment,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Virtual Reality Environment,,VirtualRealityEnvironment,Use with regard to types of computer interface that produce compelling sensory output in response to user selections or movements.,,See http://vocab.getty.edu/page/aat/300238469,,,http://www.w3.org/2000/01/rdf-schema#Class
2020-10-18T19:34:24-04:00,GlossaryPage,http://rs.tdwg.org/acsubtype/values/,2020-10-13,2020-10-13,,,,,Glossary Page,,GlossaryPage,"Alphabetical lists of terms related to a particular subject or area of interest, including definitions or explanations of usage.",,See http://vocab.getty.edu/page/aat/300026189,,,http://www.w3.org/2000/01/rdf-schema#Class
