document_modified,term,rdfs_subPropertyOf,rdfs_subClassOf
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/higherTaxonconceptID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/HigherTaxonID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/higherTaxonNameID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/individualID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/namePublicationID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/SamplingAttributeID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/SamplingEventID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/SamplingLocationID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/TaxonID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/taxonNameID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/datasetID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/eventID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/geologicalContextID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/higherGeographyID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/identificationID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/locationID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/materialSampleID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/measurementID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/nameAccordingToID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/namePublishedInID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/occurrenceID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/organismID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/originalNameUsageID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/parentNameUsageID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/relatedResourceID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/resourceID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/resourceRelationshipID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/scientificNameID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/taxonConceptID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/taxonID,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/taxonAccordingTo,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/georeferencedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/identifiedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/locationAccordingTo,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/nameAccordingTo,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/recordedBy,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo,http://rs.tdwg.org/dwc/terms/accordingTo,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/EventAttributeAccuracy,http://rs.tdwg.org/dwc/terms/accuracy,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/accuracy,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/accuracy,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy,http://rs.tdwg.org/dwc/terms/accuracy,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/accessRights,http://purl.org/dc/terms/rights,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/bibliographicCitation,http://purl.org/dc/terms/identifier,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/language,http://purl.org/dc/elements/1.1/language,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/license,http://purl.org/dc/terms/rights,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/Location,,http://purl.org/dc/terms/LocationPeriodOrJurisdiction
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/date,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/references,http://purl.org/dc/terms/relation,
2017-09-23T06:53:00-05:00,http://purl.org/dc/terms/type,http://purl.org/dc/elements/1.1/type,
