document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type,tdwgutility_organizedInClass,term_localName
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m039-2020-10-13,m039-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,WMA,m002,m,,audio/x-ms-wma,media subtype for Windows Media Audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m039
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m040-2020-10-13,m040-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,WMV,m006,m,,video/x-ms-asf,media subtype for Windows Media Video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m040
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m041-2020-10-13,m041-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,ASF,m001,m,,application/ms-asf,media subtype for Advanced Systems Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m041
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m042-2020-10-13,m042-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,SVG,m003,m,,image/svg+xml,media subtype for SVG images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m042
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m043-2020-10-13,m043-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,data CD,m001,m,,Data-CD,physical data compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m043
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m044-2020-10-13,m044-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,audio CD,m002,m,,Audio-CD,physical audio compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m044
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m045-2020-10-13,m045-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,video CD,m006,m,,Video-CD,physical video compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m045
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m046-2020-10-13,m046-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,data DVD,m001,m,,Data-DVD,physical data DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m046
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m047-2020-10-13,m047-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,audio DVD,m002,m,,Audio-DVD,physical audio DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m047
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m048-2020-10-13,m048-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,PAL video DVD,m006,m,,Video-DVD-PAL,physical PAL video DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m048
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m049-2020-10-13,m049-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,NTSC video DVD,m006,m,,Video-DVD-NTSC,physical NTSC video DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m049
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m050-2020-10-13,m050-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,photographic slide,m003,m,,photographic slide,physical photographic slide,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m050
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m051-2020-10-13,m051-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,photographic print,m003,m,,photographic print,physical photographic print,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m051
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m052-2020-10-13,m052-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,Blu-ray video disc,m006,m,,Blu-ray,physical Blu-ray video disc,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m052
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m053-2020-10-13,m053-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,physical artwork,m003,m,,physical artwork,physical drawing or painting (non-photographic),,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m053
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m054-2020-10-13,m054-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,ZVI,m003,m,,image/zvi,unofficial media subtype for Zeiss Vision Image images,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept,m,m054
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m055-2020-10-13,m055-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,STL,m004,m,,model/stl,media subtype for steriolithography files,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept,m,m055
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m056-2020-10-13,m056-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,reel-to-reel audio tape,m002,m,,audio tape,physical analogue audio tape (reel-to-reel),,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m056
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m057-2020-10-13,m057-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,audio cassette,m002,m,,audio cassette,physical analogue audio cassette,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m057
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m058-2020-10-13,m058-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,digital audio tape,m002,m,,DAT,physical digital audio tape (DAT),,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m058
2020-10-18T17:29:58-04:00,http://rs.tdwg.org/format/values/version/m059-2020-10-13,m059-2020-10-13,http://rs.tdwg.org/format/values/version/,2020-10-13,recommended,,,,MiniDisc,m002,m,,MiniDisc,physical MiniDisc ,,,,,http://www.w3.org/2004/02/skos/core#Concept,m,m059
