document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type
2020-10-18T17:30:22-04:00,m026,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Nikon NEF Raw,m003,m,,image/x-nikon-nef,media subtype for Nikon NEF Raw images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m027,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,M4V,m006,m,,video/x-m4v,media subtype for Apple M4V videos,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m028,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,3GPP,m006,m,,‎video/3gpp,media subtype for 3GPP video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m029,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,AVI,m006,m,,video/vnd.avi,media subtype for AVI video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m030,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,AMR,m002,m,,audio/AMR,media subtype for Adaptive Multi-Rate audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m031,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,AIFF,m002,m,,audio/x-aiff,media subtype for Audio Interchange File Format audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m032,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OGG audio,m002,m,,audio/ogg,media subtype for OGG audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m033,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OGG video,m006,m,,video/ogg,media subtype for OGG video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m034,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OGG multiplex,m001,m,,application/ogg,media subtype for OGG multiplex,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m035,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Kodak Photo CD image,m003,m,,image/x-photo-cd,media subtype for Kodak Photo CD image,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m036,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Photoshop,m003,m,,image/vnd.adobe.photoshop,media subtype for Photoshop images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m037,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,extended MPEG-2 Transport Stream,m006,m,,video/vnd.dlna.mpeg-tts,media subtype for extended MPEG-2 Transport Stream,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m038,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,FLAC,m002,m,,audio/x-flac,media subtype for Free Lossless Audio Codec audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m039,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,WMA,m002,m,,audio/x-ms-wma,media subtype for Windows Media Audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m040,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,WMV,m006,m,,video/x-ms-asf,media subtype for Windows Media Video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m041,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,ASF,m001,m,,application/ms-asf,media subtype for Advanced Systems Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m042,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,SVG,m003,m,,image/svg+xml,media subtype for SVG images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m043,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,data CD,m001,m,,Data-CD,physical data compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m044,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,audio CD,m002,m,,Audio-CD,physical audio compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m045,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,video CD,m006,m,,Video-CD,physical video compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m046,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,data DVD,m001,m,,Data-DVD,physical data DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m047,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,audio DVD,m002,m,,Audio-DVD,physical audio DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m048,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,PAL video DVD,m006,m,,Video-DVD-PAL,physical PAL video DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m049,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,NTSC video DVD,m006,m,,Video-DVD-NTSC,physical NTSC video DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m050,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,photographic slide,m003,m,,photographic slide,physical photographic slide,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m051,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,photographic print,m003,m,,photographic print,physical photographic print,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m052,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Blu-ray video disc,m006,m,,Blu-ray,physical Blu-ray video disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m053,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,physical artwork,m003,m,,physical artwork,physical drawing or painting (non-photographic),,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m054,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,ZVI,m003,m,,image/zvi,unofficial media subtype for Zeiss Vision Image images,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m055,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,STL,m004,m,,model/stl,media subtype for steriolithography files,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m056,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,reel-to-reel audio tape,m002,m,,audio tape,physical analogue audio tape (reel-to-reel),,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m057,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,audio cassette,m002,m,,audio cassette,physical analogue audio cassette,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m058,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,digital audio tape,m002,m,,DAT,physical digital audio tape (DAT),,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m059,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MiniDisc,m002,m,,MiniDisc,physical MiniDisc ,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m060,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,vinyl record,m002,m,,vinyl,physical vinyl record,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m061,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,mixed CD (data and audio),m001,m,,Mixed-CD,physical compact disc containing both data and audio tracks,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m062,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OBJ,m004,m,,model/obj,media subtype for OBJ 3D models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m063,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,gLTF binary,m004,m,,model/gltf-binary,media subtype for Binary GL Transmission Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m064,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,gLTF,m004,m,,model/gltf+json,media subtype for GL Transmission Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m065,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,VRML,m004,m,,model/vrml,media subtype for Virtual Reality Modeling Language,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m066,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,DICOM,m001,m,,application/dicom,media subtype for Digital Imaging and Communications in Medicine,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m067,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MTL,m004,m,,model/mtl,media subtype for OBJ Material Template Library,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m068,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,X3D XML,m004,m,,model/x3d+xml,media subtype for X3D XML models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m069,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,CIFF raw image,m003,m,,image/x-canon-crw,unofficial media subtype for Camera Image File Format raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m070,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,CR3 raw image,m003,m,,image/x-canon-cr3,unofficial media subtype for Canon Raw 3 image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m071,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,ARW raw image,m003,m,,image/x-sony-arw,unofficial media subtype for Sony raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,m072,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,RW2 raw image,m003,m,,image/x-panasonic-rw2,unofficial media subtype for Panasonic raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e001,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,plain text,,e,m019,txt,file extension for palin text,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e002,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Word (pre-2003) document,,e,m020,doc,file extension for Microsoft Word (2003 and before) documents,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e003,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Word (post-2007) document,,e,m021,docx,file extension for Microsoft Word (2007 and after) documents,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e004,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,PNG,,e,m007,png,file extension for portable network graphics images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e005,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,JPEG,,e,m008,jpg,file extension for JPEG images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e006,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,PDF,,e,m018,pdf,file extension for PDF documents,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e007,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,TIFF,,e,m011,tif,file extension for TIFF images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e008,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Digital Negative,,e,m022,dng,file extension for Digital Negative images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e009,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Canon Raw,,e,m023,cr2,file extension for Canon Raw images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e010,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,JPEG 2000,,e,m024,jp2,file extension for JPEG 2000 images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e011,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,WAVE,,e,m025,wav,file extension for WAVE audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e012,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MP3,,e,m016,mp3,ffle extension for MP3 audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e013,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Nikon NEF Raw,,e,m026,nef,file extension for Nikon NEF Raw images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e014,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MP4 audio,,e,m015,m4a,file extension for MP4 audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e015,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MP4 video,,e,m012,mp4,file extension for MP4 video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e016,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,GIF,,e,m010,gif,file extension for GIF images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e017,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,BMP,,e,m009,bmp,file extension for bitmap images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e018,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,M4V,,e,m027,m4v,file extension for Apple M4V videos,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e019,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,PLY,,e,,ply,file extension for Polygon File Format,,"The media subtype is apparently text/plain, which would not be distinguishable from other types of plain text.",,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e020,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,STL,,e,m055,stl,file extension for steriolithography files,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e021,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,3GPP,,e,m028,3gp,file extension for 3GPP video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e022,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,ZVI,,e,m054,zvi,file extension for Zeiss Vision Image images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e023,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,AVI,,e,m029,avi,file extension for AVI video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e024,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,AMR,,e,m030,amr,file extension for Adaptive Multi-Rate audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e025,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,AIFF,,e,m031,aiff,file extension for Audio Interchange File Format audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e026,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OGG audio,,e,m032,ogg,file extension for OGG audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e027,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OGG video,,e,m033,ogv,file extension for OGG video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e028,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OGG multiplex,,e,m034,ogx,file extension for OGG multiplex,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e029,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Kodak Photo CD image,,e,m035,pcd,file extension for Kodak Photo CD image,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e030,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,QuickTime,,e,m014,mov,file extension for Apple QuickTime video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e031,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,Photoshop,,e,m036,psd,file extension for Photoshop images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e032,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,FLAC,,e,m038,flac,file extension for Free Lossless Audio Codec audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e033,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,MWA,,e,m039,wma,file extension for Windows Media Audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e034,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,WMV,,e,m040,wmv,file extension for Windows Media Video,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e035,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,ASF,,e,m041,asf,file extension for Advanced Systems Format,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e036,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,SVG,,e,m042,svg,file extension for SVG images,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e037,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,OBJ,,e,m062,obj,file extension for OBJ,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e038,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,gLTF binary,,e,m063,glb,file extension for Binary GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e039,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,gLTF,,e,m064,gltf,file extension for GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept
2020-10-18T17:30:22-04:00,e040,http://rs.tdwg.org/format/values/,2020-10-13,2020-10-13,,,,,VRML,,e,m065,wrl,file extension for Virtual Reality Modeling Language,,,,,http://www.w3.org/2004/02/skos/core#Concept
