document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/bed-2009-04-24,bed-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,recommended,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/version/Bed-2005-07-03,,,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs-test.tdwg.org/dwc/terms/GeologicalContext,,bed
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/behavior-2009-04-24,behavior-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,recommended,,,,Behavior,A description of the behavior shown by the subject at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.,"Examples: ""roosting"", ""foraging"", ""running""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs-test.tdwg.org/dwc/terms/Occurrence,,behavior
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/binomial-2008-11-19,binomial-2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/,2008-11-19,deprecated,,,,Binomial,The combination of genus and first (species) epithet of the scientificName.,"Example: ""Ctenomys sociabilis""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Synecology/AssociatedTaxa/TaxonIdentified/ScientificName/FullScientificNameString,http://rs-test.tdwg.org/dwc/terms/Taxon,,binomial
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/catalogNumber-2009-04-24,catalogNumber-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,recommended,http://rs-test.tdwg.org/dwc/dwcore/version/CatalogNumber-2007-04-17,,,Catalog Number,An identifier (preferably unique) for the record within the data set or collection.,"Examples: ""2008.1334"", ""145732a"", ""145732""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitID,http://rs-test.tdwg.org/dwc/terms/Occurrence,,catalogNumber
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/CatalogNumberNumeric-2008-11-19,CatalogNumberNumeric-2008-11-19,http://rs-test.tdwg.org/dwc/terms/version/,2008-11-19,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,,,Catalog Number Numeric,"The numeric value of the catalogNumber, used to facilitate numerical sorting and searching by ranges.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitIDNumeric,http://rs-test.tdwg.org/dwc/terms/Occurrence,,CatalogNumberNumeric
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/class-2009-04-24,class-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,http://rs-test.tdwg.org/dwc/dwcore/version/Class-2007-04-17,,,Class,The name of the class in which the scientificName is classified.,"Example: ""Mammalia""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = classis,http://rs-test.tdwg.org/dwc/terms/Taxon,,class
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/class-2009-08-24,class-2009-08-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-08-24,recommended,http://rs-test.tdwg.org/dwc/terms/version/class-2009-04-24,,,Class,The full scientific name of the class in which the taxon is classified.,"Examples: ""Mammalia"", ""Hepaticopsida""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = classis,http://rs-test.tdwg.org/dwc/terms/Taxon,,class
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-04-24,collectionCode-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-04-24,superseded,http://rs-test.tdwg.org/dwc/dwcore/version/CollectionCode-2007-04-17,,,Collection Code,The name (or acronym) identifying the collection or data set from which the record was derived.,"Examples: ""Mammals"", ""Hildebrandt"", ""eBird""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceID,http://rs-test.tdwg.org/dwc/terms/all,,collectionCode
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-08-24,collectionCode-2009-08-24,http://rs-test.tdwg.org/dwc/terms/version/,2009-08-24,superseded,http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-04-24,,,Collection Code,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.","Examples: ""Mammals"", ""Hildebrandt"", ""eBird""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceID,http://rs-test.tdwg.org/dwc/terms/all,,collectionCode
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-09-11,collectionCode-2009-09-11,http://rs-test.tdwg.org/dwc/terms/version/,2009-09-11,recommended,http://rs-test.tdwg.org/dwc/terms/version/collectionCode-2009-08-24,,,Collection Code,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.","Examples: ""Mammals"", ""Hildebrandt"", ""eBird""",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SourceID,http://rs-test.tdwg.org/dwc/terms/all,,collectionCode
