replacing_version,replaced_version_localName
http://rs-test.tdwg.org/dwc/terms/version/Event-2009-04-29,SamplingEvent-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/eventID-2009-04-24,SamplingEventID-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/locationID-2009-04-24,SamplingLocationID-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/locationRemarks-2009-04-24,SamplingLocationRemarks-2009-01-18
http://rs-test.tdwg.org/dwc/terms/version/scientificName-2009-09-21,scientificName-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/taxonID-2009-08-24,scientificNameID-2009-07-06
http://rs-test.tdwg.org/dwc/terms/version/taxonRank-2009-09-21,scientificNameRank-2009-07-06
http://rs-test.tdwg.org/dwc/terms/version/eventTime-2009-04-24,StartTimeOfDay-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/subgenus-2009-08-24,subgenus-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/Taxon-2009-09-21,Taxon-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/Taxon-2014-10-23,Taxon-2009-09-21
http://rs-test.tdwg.org/dwc/terms/version/nameAccordingTo-2009-09-21,taxonAccordingTo-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/taxonConceptID-2009-09-21,taxonConceptID-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/taxonNameID-2009-04-24,TaxonID-2008-11-19
http://rs-test.tdwg.org/dwc/terms/version/scientificNameID-2009-07-06,taxonNameID-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/scientificNameID-2009-08-24,TaxonNameID-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/scientificNameRank-2009-07-06,taxonRank-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/taxonRemarks-2009-08-24,taxonRemarks-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/typeStatus-2014-10-23,typeStatus-2009-04-24
http://rs-test.tdwg.org/dwc/terms/version/verbatimTaxonRank-2009-09-21,verbatimScientificNameRank-2009-07-06
