replacing_term,replaced_term
http://rs-test.tdwg.org/dwc/terms/group,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Group
http://rs-test.tdwg.org/dwc/terms/highestBiostratigraphicZone,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/HighestBiostratigraphicZone
http://rs-test.tdwg.org/dwc/terms/latestAgeOrHighestStage,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LatestAgeOrHighestStage
http://rs-test.tdwg.org/dwc/terms/latestEpochOrHighestSeries,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LatestEpochOrHighestSeries
http://rs-test.tdwg.org/dwc/terms/latestEraOrHighestErathem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LatestEraOrHighestErathem
http://rs-test.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LatestPeriodOrHighestSystem
http://rs-test.tdwg.org/dwc/terms/lithostratigraphicTerms,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LithostratigraphicTerms
http://rs-test.tdwg.org/dwc/terms/lowestBiostratigraphicZone,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/LowestBiostratigraphicZone
http://rs-test.tdwg.org/dwc/terms/member,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Member
http://rs-test.tdwg.org/dwc/terms/materialSampleID,http://gensc.org/ns/mixs/source_mat_id
http://rs-test.tdwg.org/dwc/terms/EndTimeOfDay,http://www.iobis.org/obis/EndTimeOfDay
http://rs-test.tdwg.org/dwc/dwcore/RelatedInformation,http://www.iobis.org/obis/RecordURL
http://rs-test.tdwg.org/dwc/terms/StartTimeOfDay,http://www.iobis.org/obis/StartTimeOfDay
http://rs-test.tdwg.org/dwc/terms/subgenus,http://www.iobis.org/obis/Subgenus
