linked_affected_resource,decision_localName
http://rs.tdwg.org/ac/terms/relatedResourceID,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/resourceCreationTechnique,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/reviewer,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/reviewerComments,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/reviewerLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/serviceExpectation,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/subjectOrientation,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/subjectPart,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/subtype,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/subtypeLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/tag,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/taxonCount,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/taxonCoverage,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/timeOfDay,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/variant,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/variantDescription,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/variantLiteral,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/dateIdentified,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/identificationQualifier,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/identifiedBy,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/lifeStage,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/nameAccordingTo,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/preparations,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/scientificName,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/scientificNameID,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/sex,decision-2019-12-01_19
http://rs.tdwg.org/dwc/terms/vernacularName,decision-2019-12-01_19
http://purl.org/dc/terms/type,decision-2019-12-01_20
http://purl.org/dc/elements/1.1/type,decision-2019-12-01_20
http://rs.tdwg.org/ac/terms/ServiceAccessPoint,decision-2019-12-01_21
