rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/HigherGeography,HigherGeography,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherGeography,http://digir.net/schema/conceptual/darwin/2003/1.0/,HigherGeography
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/HigherTaxon,HigherTaxon,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherTaxon,http://digir.net/schema/conceptual/darwin/2003/1.0/,HigherTaxon
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/GeodeticDatum,GeodeticDatum,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/HorizontalDatum,http://digir.net/schema/conceptual/darwin/2003/1.0/,HorizontalDatum
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/IdentificationQualifier,IdentificationQualifier,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentificationModifier,http://digir.net/schema/conceptual/darwin/2003/1.0/,IdentificationModifier
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/IdentifiedBy,IdentifiedBy,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentifiedBy,http://digir.net/schema/conceptual/darwin/2003/1.0/,IdentifiedBy
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/IndividualCount,IndividualCount,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/IndividualCount,http://digir.net/schema/conceptual/darwin/2003/1.0/,IndividualCount
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/InstitutionCode,InstitutionCode,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/InstitutionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,InstitutionCode
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Island,Island,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Island,http://digir.net/schema/conceptual/darwin/2003/1.0/,Island
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/IslandGroup,IslandGroup,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/IslandGroup,http://digir.net/schema/conceptual/darwin/2003/1.0/,IslandGroup
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/DayOfYear,DayOfYear,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/JulianDay,http://digir.net/schema/conceptual/darwin/2003/1.0/,JulianDay
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Kingdom,Kingdom,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/Kingdom,http://digir.net/schema/conceptual/darwin/2003/1.0/,Kingdom
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude,DecimalLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/Latitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,Latitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/GeoreferenceRemarks,GeoreferenceRemarks,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/LatLongComments,http://digir.net/schema/conceptual/darwin/2003/1.0/,LatLongComments
