"identifier","context","text"
"statusType:notes","Notes for Status Type http://rs.tdwg.org/dwc/terms/statusType",""
"contactDetailCategory:label","Label for Contact Detail Category http://rs.tdwg.org/dwc/terms/contactDetailCategory",""
"contactDetailCategory:definition","Definition for Contact Detail Category http://rs.tdwg.org/dwc/terms/contactDetailCategory",""
"contactDetailCategory:notes","Notes for Contact Detail Category http://rs.tdwg.org/dwc/terms/contactDetailCategory",""
"contactDetailFunction:label","Label for Contact Detail Function http://rs.tdwg.org/dwc/terms/contactDetailFunction",""
"contactDetailFunction:definition","Definition for Contact Detail Function http://rs.tdwg.org/dwc/terms/contactDetailFunction",""
"contactDetailValue:label","Label for Contact Detail Value http://rs.tdwg.org/dwc/terms/contactDetailValue",""
"contactDetailValue:definition","Definition for Contact Detail Value http://rs.tdwg.org/dwc/terms/contactDetailValue",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"biogeographicRealm:label","Label for Biogeographic Realm http://rs.tdwg.org/dwc/terms/biogeographicRealm",""
"biogeographicRealm:definition","Definition for Biogeographic Realm http://rs.tdwg.org/dwc/terms/biogeographicRealm",""
"biogeographicRealm:notes","Notes for Biogeographic Realm http://rs.tdwg.org/dwc/terms/biogeographicRealm",""
"biome:label","Label for Biome http://rs.tdwg.org/dwc/terms/biome",""
"biome:definition","Definition for Biome http://rs.tdwg.org/dwc/terms/biome",""
"biome:notes","Notes for Biome http://rs.tdwg.org/dwc/terms/biome",""
"biomeType:label","Label for Biome Type http://rs.tdwg.org/dwc/terms/biomeType",""
"biomeType:definition","Definition for Biome Type http://rs.tdwg.org/dwc/terms/biomeType",""
"biomeType:notes","Notes for Biome Type http://rs.tdwg.org/dwc/terms/biomeType",""
"bioregion:label","Label for Bioregion http://rs.tdwg.org/dwc/terms/bioregion",""
"bioregion:definition","Definition for Bioregion http://rs.tdwg.org/dwc/terms/bioregion",""
"bioregion:notes","Notes for Bioregion http://rs.tdwg.org/dwc/terms/bioregion",""
"ecoregion:label","Label for Ecoregion http://rs.tdwg.org/dwc/terms/ecoregion",""
"ecoregion:definition","Definition for Ecoregion http://rs.tdwg.org/dwc/terms/ecoregion",""
"ecoregion:notes","Notes for Ecoregion http://rs.tdwg.org/dwc/terms/ecoregion",""
"ecosystem:label","Label for Ecosystem http://rs.tdwg.org/dwc/terms/ecosystem",""
"ecosystem:definition","Definition for Ecosystem http://rs.tdwg.org/dwc/terms/ecosystem",""
"habitat:label","Label for Habitat http://rs.tdwg.org/dwc/terms/habitat",""
"habitat:definition","Definition for Habitat http://rs.tdwg.org/dwc/terms/habitat",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"eventName:label","Label for Event Name http://rs.tdwg.org/dwc/terms/eventName",""
"eventName:definition","Definition for Event Name http://rs.tdwg.org/dwc/terms/eventName",""
