"identifier","context","text"
"Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:label","Label for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person",""
"Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:definition","Definition for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person",""
"Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:usage","Usage for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person",""
"Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:notes","Notes for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person",""
"PersonRole:http~//rs.tdwg.org/dwc/terms/attributes/PersonRole:label","Label for Person Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/PersonRole) http://rs.tdwg.org/dwc/terms/PersonRole",""
"PersonRole:http~//rs.tdwg.org/dwc/terms/attributes/PersonRole:definition","Definition for Person Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/PersonRole) http://rs.tdwg.org/dwc/terms/PersonRole",""
"PersonRole:http~//rs.tdwg.org/dwc/terms/attributes/PersonRole:notes","Notes for Person Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/PersonRole) http://rs.tdwg.org/dwc/terms/PersonRole",""
"RecordLevel:http~//rs.tdwg.org/dwc/terms/attributes/RecordLevel:label","Label for Record Level (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/RecordLevel) http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:http~//rs.tdwg.org/dwc/terms/attributes/RecordLevel:definition","Definition for Record Level (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/RecordLevel) http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:http~//rs.tdwg.org/dwc/terms/attributes/RecordLevel:notes","Notes for Record Level (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/RecordLevel) http://rs.tdwg.org/dwc/terms/RecordLevel",""
"Reference:http~//rs.tdwg.org/dwc/terms/attributes/Reference:label","Label for Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Reference) http://rs.tdwg.org/dwc/terms/Reference",""
"Reference:http~//rs.tdwg.org/dwc/terms/attributes/Reference:definition","Definition for Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Reference) http://rs.tdwg.org/dwc/terms/Reference",""
