"identifier","context","text"
"PersonRole:notes","Notes for Person Role http://rs.tdwg.org/dwc/terms/PersonRole","Cette classe est alignée sur la propriété prov:qualifiedAttribution (http://www.w3.org/ns/prov#qualifiedAttribution). Elle doit être utilisée à la place des classes Activity et PersonActivity pour relier une personne ou une entité organisationnelle à une autre entité dans les cas où une activité n'est pas connue ou n'est pas pertinente, par exemple pour décrire le rôle d'une personne au sein d'une organisation. Il n'est pas obligatoire d'établir un lien avec une personne ou un rôle dans cette classe, afin de pouvoir prendre en charge les cas où un rôle est connu mais où la personne qui l'a rempli ne l'est pas, et où l'on sait qu'une personne a été impliquée mais où le contexte est inconnu. Toutefois, on s'attend à ce qu'au moins une des propriétés hasPerson et hasRole soit renseignée."
"RecordLevel:label","Label for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:definition","Definition for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:notes","Notes for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel","Lié à la recommandation PID Kernel de la RDA (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf)"
"Reference:label","Label for Reference http://rs.tdwg.org/dwc/terms/Reference","Référence"
"Reference:definition","Definition for Reference http://rs.tdwg.org/dwc/terms/Reference","Une référence à des ressources externes et des informations relatives à la classe."
"Reference:notes","Notes for Reference http://rs.tdwg.org/dwc/terms/Reference","Dans le Latimer Core, cette classe peut être utilisée pour stocker des références à des publications, des directives, des jeux de données et d'autres ressources en ligne telles que des sites web, en rapport avec les classes du standard."
"ResourceRelationship:label","Label for Resource Relationship http://rs.tdwg.org/dwc/terms/ResourceRelationship","Relation entre les ressources"
"ResourceRelationship:definition","Definition for Resource Relationship http://rs.tdwg.org/dwc/terms/ResourceRelationship","Relation d'une rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) avec une autre, ou avec un concept simple nommé."
"ResourceRelationship:notes","Notes for Resource Relationship http://rs.tdwg.org/dwc/terms/ResourceRelationship","Les ressources peuvent être considérées comme des enregistrements identifiables ou des instances de classes et peuvent inclure, sans s'y limiter, des instances de ltc:ObjectGroup, ltc:OrganisationalUnit, ltc:Taxon, ltc:Event, ltc:GeographicContext, ltc:GeologicalContext, ltc:EcologicalContext, ou ltc:ObjectClassification. Dans le contexte du Latimer Core, les principaux objectifs de cette classe sont 1. de définir différentes relations sémantiques et hiérarchiques entre les ObjectGroups, et 2. de prendre en charge les relations quantifiées et annotées entre les ObjectGroups et d'autres classes (telles que ltc:Taxon et ltc:GeographicContext) et propriétés LtC (telles que ltc:discipline et ltc:objectType) qui décrivent le contenu de l'ObjectGroup, à l'aide de la propriété hasMeasurementOrFact."
"Role:label","Label for Role http://rs.tdwg.org/dwc/terms/Role","Rôle"
"Role:definition","Definition for Role http://rs.tdwg.org/dwc/terms/Role","La fonction d'une personne par rapport à une activité ou une structure."
