identifier,context,text
OrganisationalUnit:http~//rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit:notes,Notes for Organisational Unit (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit) http://rs.tdwg.org/dwc/terms/OrganisationalUnit,"This class can represent any level of organisational unit, incorporating institutions (e.g. a museum), higher units (e.g. a university to which a museum belongs) and more detailed structures (e.g the departments and divisions within a museum). It can be used to arrange these different units at different levels into a hierarchical structure. This class combines aspects of both class org:Organization (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:Organization) and class org:OrganizationalUnit (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:OrganizationalUnit) from the W3C Organization Ontology ORG (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#overview-of-ontology). Recommended best practice is to associate a unique, persistent organisational identifier (PID) with each created organisational unit. This will allow an unambiguous and continual identification of the unit, as well as the creation of organisational hierarchies. Existing providers of PIDs for organisations are, e.g. https://grid.ac/ and https://ror.org/. The provision of organisational PIDs might be extended to intra-organisational units in the future. Properties of Class: Identifier can be used to add identifier information for organisational units."
Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:label,Label for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person,Person
Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:definition,Definition for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person,"A person (alive, dead, undead, or fictional)."
Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:usage,Usage for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person,A person (alive or dead).
Person:http~//rs.tdwg.org/dwc/terms/attributes/Person:notes,Notes for Person (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Person) http://rs.tdwg.org/dwc/terms/Person,"This concept should map to the Schema.org Person class (https://schema.org/Person), and the prov:Person class (http://www.w3.org/ns/prov#Person) in the PROV ontology. In the latter, it is a subclass of prov:Agent, which through which it can map to the RDA recommendations on attribution (http://dx.doi.org/10.15497/RDA00029). The definition is appropriated from the Schema.org class."
PersonRole:http~//rs.tdwg.org/dwc/terms/attributes/PersonRole:label,Label for Person Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/PersonRole) http://rs.tdwg.org/dwc/terms/PersonRole,Person Role
PersonRole:http~//rs.tdwg.org/dwc/terms/attributes/PersonRole:definition,Definition for Person Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/PersonRole) http://rs.tdwg.org/dwc/terms/PersonRole,A qualified association between a Person or OrganisationalUnit and an entity such as an ObjectGroup or MeasurementOrFact that enables the relationship to be contextualised with a specific role and time period.
PersonRole:http~//rs.tdwg.org/dwc/terms/attributes/PersonRole:notes,Notes for Person Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/PersonRole) http://rs.tdwg.org/dwc/terms/PersonRole,"This class is aligned with the prov:qualifiedAttribution property (http://www.w3.org/ns/prov#qualifiedAttribution). It should be used instead of the Activity and PersonActivity classes to link a Person or OrganisationalUnit to an entity in situations where an activity is not know or is irrelevant, for example for describing a person's role within an organisation. It is not mandatory to link to either a Person or a Role in this class, to support use cases where a role is known but the person who fulfilled it is not, and where a person is known to have been involved but the context is not. However, it's expected that at least one of the hasPerson and hasRole properties is populated."
RecordLevel:http~//rs.tdwg.org/dwc/terms/attributes/RecordLevel:label,Label for Record Level (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/RecordLevel) http://rs.tdwg.org/dwc/terms/RecordLevel,Record Level
RecordLevel:http~//rs.tdwg.org/dwc/terms/attributes/RecordLevel:definition,Definition for Record Level (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/RecordLevel) http://rs.tdwg.org/dwc/terms/RecordLevel,The machine-actionable information profile for the collection description digital object.
RecordLevel:http~//rs.tdwg.org/dwc/terms/attributes/RecordLevel:notes,Notes for Record Level (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/RecordLevel) http://rs.tdwg.org/dwc/terms/RecordLevel,Linked to the RDA PID Kernel recommendation (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf)
Reference:http~//rs.tdwg.org/dwc/terms/attributes/Reference:label,Label for Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Reference) http://rs.tdwg.org/dwc/terms/Reference,Reference
Reference:http~//rs.tdwg.org/dwc/terms/attributes/Reference:definition,Definition for Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Reference) http://rs.tdwg.org/dwc/terms/Reference,A reference to external resources and information related to the class.
Reference:http~//rs.tdwg.org/dwc/terms/attributes/Reference:notes,Notes for Reference (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Reference) http://rs.tdwg.org/dwc/terms/Reference,"In Latimer Core, this class can be used to store references to publications, policies, datasets and other online resources such as websites, related to classes within the standard."
ResourceRelationship:http~//rs.tdwg.org/dwc/terms/attributes/ResourceRelationship:label,Label for Resource Relationship (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship) http://rs.tdwg.org/dwc/terms/ResourceRelationship,Resource Relationship
ResourceRelationship:http~//rs.tdwg.org/dwc/terms/attributes/ResourceRelationship:definition,Definition for Resource Relationship (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship) http://rs.tdwg.org/dwc/terms/ResourceRelationship,"A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another, or to a simple named concept."
ResourceRelationship:http~//rs.tdwg.org/dwc/terms/attributes/ResourceRelationship:notes,Notes for Resource Relationship (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ResourceRelationship) http://rs.tdwg.org/dwc/terms/ResourceRelationship,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to instances of ltc:ObjectGroup, ltc:OrganisationalUnit, ltc:Taxon, ltc:Event, ltc:GeographicContext, ltc:GeologicalContext, ltc:EcologicalContext, or ltc:ObjectClassification. In the context of Latimer Core, the main purposes of this class are 1. to define different semantic and hierarchical relationships between ObjectGroups, and 2. to support quantified and annotated relationships between ObjectGroups and other LtC classes (such as ltc:Taxon and ltc:GeographicContext) and properties (such as ltc:discipline and ltc:objectType) that describe the contents of the ObjectGroup, using the hasMeasurementOrFact property."
Role:http~//rs.tdwg.org/dwc/terms/attributes/Role:label,Label for Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Role) http://rs.tdwg.org/dwc/terms/Role,Role
Role:http~//rs.tdwg.org/dwc/terms/attributes/Role:definition,Definition for Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Role) http://rs.tdwg.org/dwc/terms/Role,The function of a Person with respect to an activity or entity.
Role:http~//rs.tdwg.org/dwc/terms/attributes/Role:notes,Notes for Role (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Role) http://rs.tdwg.org/dwc/terms/Role,"While this class contains no mandatory properties, it's recommended that at least one of the roleName and hasIdentifier properties are used to specify the intended role. Where appropriate, the use of controlled vocabularies such as the CRediT contributor roles taxonomy (https://credit.niso.org) is encouraged."
SchemeMeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact:label,Label for Scheme Measurement Or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact) http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact,Scheme Measurement Or Fact
SchemeMeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact:definition,Definition for Scheme Measurement Or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/SchemeMeasurementOrFact) http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact,"A type of measurement or fact used by the LatimerCoreScheme, and the rules relating to its application."
