"identifier","context","text"
"georeferenceVerificationStatus:rdfs_comment","Comment for Georeference Verification Status http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus",""
"georeferenceVerificationStatus:dcterms_description","Description for Georeference Verification Status http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus",""
"higherGeography:label","Label for Higher Geography http://rs.tdwg.org/dwc/terms/higherGeography","概略地理描述"
"higherGeography:rdfs_comment","Comment for Higher Geography http://rs.tdwg.org/dwc/terms/higherGeography",""
"higherGeography:dcterms_description","Description for Higher Geography http://rs.tdwg.org/dwc/terms/higherGeography",""
"higherGeography:examples","Examples for Higher Geography http://rs.tdwg.org/dwc/terms/higherGeography",""
"higherGeographyID:label","Label for Higher Geography ID http://rs.tdwg.org/dwc/terms/higherGeographyID","概略地理描述ID"
"higherGeographyID:rdfs_comment","Comment for Higher Geography ID http://rs.tdwg.org/dwc/terms/higherGeographyID",""
"higherGeographyID:dcterms_description","Description for Higher Geography ID http://rs.tdwg.org/dwc/terms/higherGeographyID",""
"higherGeographyID:examples","Examples for Higher Geography ID http://rs.tdwg.org/dwc/terms/higherGeographyID",""
"island:label","Label for Island http://rs.tdwg.org/dwc/terms/island","島嶼"
"island:rdfs_comment","Comment for Island http://rs.tdwg.org/dwc/terms/island",""
"island:dcterms_description","Description for Island http://rs.tdwg.org/dwc/terms/island",""
"islandGroup:label","Label for Island Group http://rs.tdwg.org/dwc/terms/islandGroup","島群"
"islandGroup:rdfs_comment","Comment for Island Group http://rs.tdwg.org/dwc/terms/islandGroup",""
"islandGroup:dcterms_description","Description for Island Group http://rs.tdwg.org/dwc/terms/islandGroup",""
"locality:label","Label for Locality http://rs.tdwg.org/dwc/terms/locality","地區"
"locality:rdfs_comment","Comment for Locality http://rs.tdwg.org/dwc/terms/locality",""
"locationAccordingTo:label","Label for Location According To http://rs.tdwg.org/dwc/terms/locationAccordingTo","地點根據於"
"locationAccordingTo:rdfs_comment","Comment for Location According To http://rs.tdwg.org/dwc/terms/locationAccordingTo",""
"locationID:label","Label for Location ID http://rs.tdwg.org/dwc/terms/locationID","地點ID"
"locationID:rdfs_comment","Comment for Location ID http://rs.tdwg.org/dwc/terms/locationID",""
"locationRemarks:label","Label for Location Remarks http://rs.tdwg.org/dwc/terms/locationRemarks","地點補註"
"locationRemarks:rdfs_comment","Comment for Location Remarks http://rs.tdwg.org/dwc/terms/locationRemarks",""
