"identifier","context","text"
"subtypeLiteral:rdfs_comment","Comment for Subtype (literal) http://rs.tdwg.org/dwc/terms/subtypeLiteral",""
"subtypeLiteral:skos_scopeNote","Usage for Subtype (literal) http://rs.tdwg.org/dwc/terms/subtypeLiteral",""
"tag:label","Label for Tag http://rs.tdwg.org/dwc/terms/tag",""
"tag:rdfs_comment","Comment for Tag http://rs.tdwg.org/dwc/terms/tag",""
"tag:dcterms_description","Description for Tag http://rs.tdwg.org/dwc/terms/tag",""
"taxonCount:label","Label for Taxon Count http://rs.tdwg.org/dwc/terms/taxonCount",""
"taxonCount:rdfs_comment","Comment for Taxon Count http://rs.tdwg.org/dwc/terms/taxonCount",""
"taxonCount:dcterms_description","Description for Taxon Count http://rs.tdwg.org/dwc/terms/taxonCount",""
"taxonCount:skos_scopeNote","Usage for Taxon Count http://rs.tdwg.org/dwc/terms/taxonCount",""
"taxonCoverage:label","Label for Taxon Coverage http://rs.tdwg.org/dwc/terms/taxonCoverage",""
"taxonCoverage:rdfs_comment","Comment for Taxon Coverage http://rs.tdwg.org/dwc/terms/taxonCoverage",""
"taxonCoverage:dcterms_description","Description for Taxon Coverage http://rs.tdwg.org/dwc/terms/taxonCoverage",""
"timeOfDay:label","Label for Time of Day http://rs.tdwg.org/dwc/terms/timeOfDay",""
"timeOfDay:rdfs_comment","Comment for Time of Day http://rs.tdwg.org/dwc/terms/timeOfDay",""
"timeOfDay:dcterms_description","Description for Time of Day http://rs.tdwg.org/dwc/terms/timeOfDay",""
"variant:label","Label for Variant (IRI) http://rs.tdwg.org/dwc/terms/variant",""
"variant:rdfs_comment","Comment for Variant (IRI) http://rs.tdwg.org/dwc/terms/variant",""
"variant:skos_scopeNote","Usage for Variant (IRI) http://rs.tdwg.org/dwc/terms/variant",""
"variantDescription:label","Label for Variant Description http://rs.tdwg.org/dwc/terms/variantDescription",""
"variantDescription:rdfs_comment","Comment for Variant Description http://rs.tdwg.org/dwc/terms/variantDescription",""
"variantDescription:dcterms_description","Description for Variant Description http://rs.tdwg.org/dwc/terms/variantDescription",""
"variantLiteral:label","Label for Variant (literal) http://rs.tdwg.org/dwc/terms/variantLiteral",""
"variantLiteral:rdfs_comment","Comment for Variant (literal) http://rs.tdwg.org/dwc/terms/variantLiteral",""
"variantLiteral:skos_scopeNote","Usage for Variant (literal) http://rs.tdwg.org/dwc/terms/variantLiteral",""
"ServiceAccessPoint:label","Label for Service Access Point Class http://rs.tdwg.org/dwc/terms/ServiceAccessPoint",""
"ServiceAccessPoint:rdfs_comment","Comment for Service Access Point Class http://rs.tdwg.org/dwc/terms/ServiceAccessPoint",""
"ServiceAccessPoint:dcterms_description","Description for Service Access Point Class http://rs.tdwg.org/dwc/terms/ServiceAccessPoint",""
"ServiceAccessPoint:skos_scopeNote","Usage for Service Access Point Class http://rs.tdwg.org/dwc/terms/ServiceAccessPoint",""
"freqLow:label","Label for Lower frequency bound http://rs.tdwg.org/dwc/terms/freqLow",""
"freqLow:rdfs_comment","Comment for Lower frequency bound http://rs.tdwg.org/dwc/terms/freqLow",""
"freqLow:dcterms_description","Description for Lower frequency bound http://rs.tdwg.org/dwc/terms/freqLow",""
"freqLow:skos_scopeNote","Usage for Lower frequency bound http://rs.tdwg.org/dwc/terms/freqLow",""
"freqHigh:label","Label for Upper frequency bound http://rs.tdwg.org/dwc/terms/freqHigh",""
"freqHigh:rdfs_comment","Comment for Upper frequency bound http://rs.tdwg.org/dwc/terms/freqHigh",""
"freqHigh:dcterms_description","Description for Upper frequency bound http://rs.tdwg.org/dwc/terms/freqHigh",""
"freqHigh:skos_scopeNote","Usage for Upper frequency bound http://rs.tdwg.org/dwc/terms/freqHigh",""
"RegionOfInterest:label","Label for Region of Interest Class http://rs.tdwg.org/dwc/terms/RegionOfInterest",""
