documentTitle,current_iri,version_iri,mediaType,version_issued,publisher,license_statement,license_uri,citation,creator,comment,accessUrl,browserRedirectUri,dcterms_isPartOf,abstract
Darwin Core RDF Guide,http://rs.tdwg.org/dwc/terms/guides/rdf/,http://rs.tdwg.org/dwc/terms/guides/rdf/2015-06-02,text/html,2015-06-02,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core and RDF/OWL Task Groups. 2015. Darwin Core RDF Guide. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/terms/guides/rdf/,TDWG Darwin Core and RDF/OWL Task Groups ,,http://rs.tdwg.org/dwc/terms/guides/rdf/index.htm,http://rs.tdwg.org/dwc/terms/guides/rdf/index.htm,http://www.tdwg.org/standards/450,This guide is intended to facilitate the use of Darwin Core terms in the Resource Description Framework (RDF). It explains basic features of RDF and provides details of how to expose data in the form of RDF using Darwin Core terms and terms from other key vocabularies. It defines terms in the namespace http://rs.tdwg.org/dwc/iri/ which are intended for use excusively with non-literal objects. 
Darwin Core Text Guide,http://rs.tdwg.org/dwc/terms/guides/text/,http://rs.tdwg.org/dwc/terms/guides/text/2014-11-08,text/html,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core Text Guide. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/terms/guides/text/,TDWG Darwin Core Task Group,,http://rs.tdwg.org/dwc/terms/guides/text/index.htm,http://rs.tdwg.org/dwc/terms/guides/text/index.htm,http://www.tdwg.org/standards/450,This document provides guidelines for implementing Darwin Core in Text files.
Darwin Core XML Guide,http://rs.tdwg.org/dwc/terms/guides/xml/,http://rs.tdwg.org/dwc/terms/guides/xml/2014-11-08,text/html,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core XML Guide. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/terms/guides/xml/,TDWG Darwin Core Task Group,,http://rs.tdwg.org/dwc/terms/guides/xml/index.htm,http://rs.tdwg.org/dwc/terms/guides/xml/index.htm,http://www.tdwg.org/standards/450,This document provides guidelines for the implementation of Darwin Core in XML.
Simple Darwin Core,http://rs.tdwg.org/dwc/terms/simple/,http://rs.tdwg.org/dwc/terms/simple/2014-11-08,text/html,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Simple Darwin Core. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/terms/simple/,TDWG Darwin Core Task Group,,http://rs.tdwg.org/dwc/terms/simple/index.htm,http://rs.tdwg.org/dwc/terms/simple/index.htm,http://www.tdwg.org/standards/450,"This document is a reference for the Simple Darwin Core standard, a mechanism used to share biodiversity information using the simplest methods and structure.  "
Darwin Core Namespace Policy,http://rs.tdwg.org/dwc/terms/namespace/,http://rs.tdwg.org/dwc/terms/namespace/2014-11-08,text/html,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core Namespace Policy. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/terms/namespace/,TDWG Darwin Core Task Group,,http://rs.tdwg.org/dwc/terms/namespace/index.htm,http://rs.tdwg.org/dwc/terms/namespace/index.htm,http://www.tdwg.org/standards/450,"All terms in the Darwin Core must be assigned a unique Uniform Resource Identifier (URI). For convenience, the term URIs that are assigned and managed by the Darwin Core Task Group are grouped into collections known as Darwin Core namespaces. This document describes how term URIs are allocated by the Darwin Core Task Group and the policies associated with Darwin Core namespaces. "
TDWG Access Protocol for Information Retrieval (TAPIR) Executive Summary,http://rs.tdwg.org/tapir/doc/summary/,http://rs.tdwg.org/tapir/doc/summary/2007-08-28,text/html,2007-08-28,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2007. TDWG Access Protocol for Information Retrieval (TAPIR) Executive Summary. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/tapir/doc/summary/,TDWG TAPIR task group ,,http://www.tdwg.org/activities/tapir/executive-summary/,http://www.tdwg.org/activities/tapir/executive-summary/,http://www.tdwg.org/standards/449,"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. TAPIR consists of a specification that determines how client applications seeking information should communicate with server applications hosting data. This document summarizes the key concepts and features of TAPIR."
TDWG Access Protocol for Information Retrieval (TAPIR) Protocol Specification,http://rs.tdwg.org/tapir/doc/specification/,http://rs.tdwg.org/tapir/doc/specification/2010-05-05,text/html,2010-05-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2010. TDWG Access Protocol for Information Retrieval (TAPIR) Protocol Specification. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/tapir/doc/specification/,TDWG TAPIR task group ,,http://tdwg.github.io/tapir/docs/tdwg_tapir_specification_2010-05-05.html,http://tdwg.github.io/tapir/docs/tdwg_tapir_specification_2010-05-05.html,http://www.tdwg.org/standards/449,This document specifies the TAPIR protocol and the structure and syntax of TAPIR messages.  
TDWG Access Protocol for Information Retrieval (TAPIR) XML Schema ,http://rs.tdwg.org/tapir/doc/xmlschema/,http://rs.tdwg.org/tapir/doc/xmlschema/2009-02-05,application/xml ,2009-02-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2009. TDWG Access Protocol for Information Retrieval (TAPIR) XML Schema. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/tapir/doc/xmlschema/,TDWG TAPIR task group ,,http://tdwg.github.io/tapir/schema/tapir.xsd,http://tdwg.github.io/tapir/schema/tapir.xsd,http://www.tdwg.org/standards/449,"TAPIR XML Schema. TAPIR is an acronym for TDWG Access Protocol for Information Retrieval. It is a unified and extended protocol based on DiGIR and BioCASe. TAPIR specifies a standardised, stateless, HTTP transmittable, XML-based request and response protocol for accessing structured data that may be stored on any number of distributed databases of varied physical and logical structure.  "
TDWG Access Protocol for Information Retrieval (TAPIR) Concept Aliases,http://rs.tdwg.org/tapir/doc/conceptaliases/,http://rs.tdwg.org/tapir/doc/conceptaliases/2015-06-01,text/plain,2015-06-01,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2015. TDWG Access Protocol for Information Retrieval (TAPIR) Concept Aliases. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/tapir/doc/conceptaliases/,TDWG TAPIR task group ,,http://tdwg.github.io/tapir/cns/alias.txt,http://tdwg.github.io/tapir/cns/alias.txt,http://www.tdwg.org/standards/449,Globally unique aliases for concepts. The aliases listed here are only unique within their concept source. 
TDWG Access Protocol for Information Retrieval (TAPIR) Network Builders' Guide,http://rs.tdwg.org/tapir/doc/guide/,http://rs.tdwg.org/tapir/doc/guide/2015-06-03,text/html,2015-06-03,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2015. TDWG Access Protocol for Information Retrieval (TAPIR) Network Builders' Guide. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/tapir/doc/guide/,TDWG TAPIR task group ,,http://tdwg.github.io/tapir/docs/TAPIRNetworkBuildersGuide_2010-05-05.html,http://tdwg.github.io/tapir/docs/TAPIRNetworkBuildersGuide_2010-05-05.html,http://www.tdwg.org/standards/449,This document provides guidelines for building networks based on the TAPIR protocol.  
TDWG Access Protocol for Information Retrieval (TAPIR) Output Models and Query Templates,http://rs.tdwg.org/tapir/doc/models/,http://rs.tdwg.org/tapir/doc/models/2015-11-25,text/html,2015-11-25,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2015. TDWG Access Protocol for Information Retrieval (TAPIR) Output Models and Query Templates. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/tapir/doc/models/,TDWG TAPIR task group ,,http://tdwg.github.io/tapir/cs/,http://tdwg.github.io/tapir/cs/,http://www.tdwg.org/standards/449,This page is an index to TAPIR XML models and query templates.
Access to Biological Collection Data (ABCD) Primer,http://rs.tdwg.org/abcd/doc/primer/,http://rs.tdwg.org/abcd/doc/primer/2006-07-27,text/plain,2006-07-27,,,,,,,https://raw.githubusercontent.com/tdwg/wiki-archive/master/twiki/data/ABCD/AbcdPrimer.txt,,http://www.tdwg.org/standards/115,This primer is intended to provide an easily readable background to ABCD and should take anyone with no knowledge of the standard to the very point where they would be able to understand the principles and the more detailed technical specification. Examples are given which are complemented by references to the normative texts.
Access to Biological Collection Data (ABCD) XML Schema,http://rs.tdwg.org/abcd/doc/xmlschema/,http://rs.tdwg.org/abcd/doc/xmlschema/2007-06-13,application/xml ,2007-06-13,,,,,,See also https://rawgit.com/tdwg/abcd/master/2.06/rddl-2007-10-18.html,https://raw.githubusercontent.com/tdwg/abcd/master/2.06/ABCD_2.06.xsd,,http://www.tdwg.org/standards/115,XML schema document for the Access to Biological Collection Data standard.
Structured Descriptive Data Introduction and Primer,http://rs.tdwg.org/sdd/doc/introduction/,http://rs.tdwg.org/sdd/doc/introduction/2006-05-11,text/plain,2006-05-11,,,,,,,https://raw.githubusercontent.com/tdwg/wiki-archive/master/twiki/data/SDD/Primer/SddIntroduction.txt,,http://www.tdwg.org/standards/116,"This document is a non-normative introduction to the Taxonomic Databases Working Group SDD (Structure of Descriptive Data) Standard. Its intention is to provide a background, introduction and primer to the SDD Standard, with examples."
Structured Descriptive Data XML Schema,http://rs.tdwg.org/sdd/doc/xmlschema/,http://rs.tdwg.org/sdd/doc/xmlschema/2006-05-11,application/xml ,2006-05-11,,,,,,See also https://rawgit.com/tdwg/sdd/master/2006/rddl.html and https://github.com/tdwg/sdd/blob/master/2006/Schema/1.1/UBIF_(c).xsd,https://raw.githubusercontent.com/tdwg/sdd/master/2006/Schema/1.1/SDD.xsd,,http://www.tdwg.org/standards/116,This is the schema file to be referenced in instance documents for validation. It is the top level schema file that integrates the schema components. 
Taxon Concept Schema User Guide,http://rs.tdwg.org/tcs/doc/guide/,http://rs.tdwg.org/tcs/doc/guide/2006-09-21,application/pdf,2006-09-21,,,,,,,https://github.com/tdwg/tcs/raw/master/TCS101/UserGuidev_1.3.pdf,,http://www.tdwg.org/standards/117,"This guide is meant to act as a readable introduction to the Taxon Concept Schema (TCS). It is aimed at both decision makers and implementers of systems and so the content varies from being of a general nature, assuming little prior knowledge of taxonomy or XML technologies, to being quite detailed concerning the technicalities of biological nomenclature and XML schemas. Generally it becomes more specific as it goes on. This document is not a step by step manual for mapping a data source to a TCS document. Each data source is likely to be different in structure and so this is not a feasible exercise. What it attempts to do is provided the information needed for an implementer to make intelligent decisions as to how their data source should be mapped to the schema so that they can publish and/or receive data from other systems with as little confusion as possible. "
Taxon Concept Schema XML Schema,http://rs.tdwg.org/tcs/doc/xmlschema/,http://rs.tdwg.org/tcs/doc/xmlschema/2006-09-21,application/xml ,2006-09-21,,,,,,,https://raw.githubusercontent.com/tdwg/tcs/master/TCS101/v101.xsd,,http://www.tdwg.org/standards/117,This document is the validation schema for Taxon Concept Schema XML documents.
Definition of the Delta Format,http://rs.tdwg.org/delta/doc/definition/,http://rs.tdwg.org/delta/doc/definition/2005-09-13,application/pdf,2005-09-13,,,,,,,https://github.com/tdwg/delta/raw/master/107-516-1-ED.pdf,,http://www.tdwg.org/standards/107,"This document is primarily for the benefit of programmers, and contains more detail than would usually be required by users of the DELTA format. It provides an introduction to the format, and details necessary to encode data in the format."
Natural Collections Description (NCD) Guide,http://rs.tdwg.org/ncd/doc/guide/,http://rs.tdwg.org/ncd/doc/guide/2008-08-12,application/msword ,2008-08-12,,,,,,,https://github.com/tdwg/ncd/raw/master/NCD-v090_TDWG/NCD-v090_TDWG-NonNormative.doc,,http://www.tdwg.org/standards/312,"Natural Collections Description (NCD) is a data standard for describing collections of natural history materials at the collection level; one NCD record describes one entire collection. The NCD standard covers all types of natural history collections, such as specimens, original artwork, archives, observations, library materials, datasets, photographs or mixed collections such as those that result from expeditions and voyages of discovery.  This document accompanies the normative part of the NCD standard. The standard consists of the series of class and property definitions and is presented in a separate document. "
Natural Collections Description (NCD) Specification,http://rs.tdwg.org/ncd/doc/specification/,http://rs.tdwg.org/ncd/doc/specification/2008-08-12,application/msword ,2008-08-12,,,,,,,https://github.com/tdwg/ncd/raw/master/NCD-v090_TDWG/NCD-v090_TDWG-Normative.doc,,http://www.tdwg.org/standards/312,This normative document provides the fields and definitions for terms in the standard.
ABCDDNA DNA Extension for Access to Biological Collection Data Guide,http://rs.tdwg.org/abcddna/doc/guide/,http://rs.tdwg.org/abcddna/doc/guide/2010-08-04,application/pdf,2010-08-04,,,,,,,https://github.com/tdwg/abcddna/raw/master/640-3005-1-SM.pdf,,http://www.tdwg.org/standards/640,"This document specifies ABCDDNA, the DNA extension for ABCD 2.06 (Access to Biological Collections Data). ABCDDNA is a theme specific extension for ABCD created to facilitate storage and exchange of data related to DNA collection units, such as DNA extraction specifics, DNA quality parameters, and data characterising products of downstream applications, along with the relation to the analysed voucher specimen. "
ABCDDNA DNA Extension for Access to Biological Collection Data XML Schema,http://rs.tdwg.org/abcddna/doc/xmlschema/,http://rs.tdwg.org/abcddna/doc/xmlschema/2010-08-04,application/xml ,2010-08-04,,,,,,,http://www.dnabank-network.org/schemas/ABCDDNA/ABCDDNA.xsd,,http://www.tdwg.org/standards/640,This document is the validation schema for ABCDDNA XML documents.
HISPID3 Herbarium Information Standards and Protocols for Interchange of Data,http://rs.tdwg.org/hispid/doc/specification/,http://rs.tdwg.org/hispid/doc/specification/2007-05-11,text/html,2007-05-11,,,,,,,https://rawgit.com/tdwg/prior-standards/master/hispid3/110-540-1-RV.html,,http://www.tdwg.org/standards/110,This document describes the form of HISPID3 records and the fields that can be included in an interchange flat file.
HISPID Herbarium Information Standards and Protocols for Interchange of Data (Version 2),http://rs.tdwg.org/hispid/doc/specification/,http://rs.tdwg.org/hispid/doc/specification/1993,text/html,1993,,,,,,,,,http://www.tdwg.org/standards/110,
HISPID Herbarium Information Standards and Protocols for Interchange of Data (Version 1),http://rs.tdwg.org/hispid/doc/specification/,http://rs.tdwg.org/hispid/doc/specification/1989,text/html,1989,,,,,,,,,http://www.tdwg.org/standards/110,
Economic Botany Data Collection Standard,http://rs.tdwg.org/ebdc/doc/specification/,http://rs.tdwg.org/ebdc/doc/specification/1995,application/pdf,1995,,,,,,This document was available in print.  The linked document is a scan of the print book.,https://www.kew.org/sites/default/files/EconomicBotanyStandard_FEMCook_1995_TDWG_0.pdf,,http://www.tdwg.org/standards/103,"The aim of the Economic Botany Data Collection Standard is to provide a system whereby uses of plants (in their cultural context) can be described, using standardised descriptors and terms, and attached to taxonomic data sets. This book describes the structure and implementation of the standard."
Plant Occurrence and Status Scheme: A Standard for Recording the Relationship between a Plant and a Place,http://rs.tdwg.org/poss/doc/specification/,http://rs.tdwg.org/poss/doc/specification/1995-11,application/pdf,1995-11,,,,,,,https://github.com/tdwg/prior-standards/raw/master/poss/106-522-1-RV.pdf,,http://www.tdwg.org/standards/106,This document describes the general principles of POSS and describes the data fields and their suggested values.
Plant Names in Botanical Databases,http://rs.tdwg.org/pnbd/doc/specification/,http://rs.tdwg.org/pnbd/doc/specification/1994-12,application/pdf,1994-12,,,,,,Note: the introduction of this publication provides some historical information about TDWG and early standards it produced or adopted from elsewhere.,https://github.com/tdwg/prior-standards/raw/master/plant-names-in-botanical-databases/113-528-1-RV.pdf,,http://www.tdwg.org/standards/113,"This standard defines the taxonomic and nomenclatural concepts associated with the names of plants. It describes the component parts, their functions and their interrelations of significance in structuring a database. "
Authors of Plant Names,http://rs.tdwg.org/apn/doc/data/,http://rs.tdwg.org/apn/doc/data/1992,print,1992,,,,,,"Note: Authors of Plant Names eBook is behind a GBP 60 paywall (http://shop.kew.org/authors-of-plant-names-11770).  Since 1998, the database of author names and their standard forms has been maintained and updated online as part of The International Plant Names Index (http://www.ipni.org/).",urn:isbn:1842460854,,http://www.tdwg.org/standards/101,"An index of authors of plant scientific names. Includes flowering plants, gymnosperms, pteridophytes, bryophytes, algae, fungi and fossil plants. Full names, dates of birth and death when known, recommended abbreviations and groups in which names have been published, are given for each author. "
World Geographic Scheme for Recording Plant Distributions,http://rs.tdwg.org/wgsrpd/doc/data/,http://rs.tdwg.org/wgsrpd/doc/data/2001-08,application/pdf,2001-08,,,,,,,https://github.com/tdwg/wgsrpd/raw/master/109-488-1-ED/2nd%20Edition/TDWG_geo2.pdf,,http://www.tdwg.org/standards/109,"This document defines a schem for recording geographical units.  The system offered covers the whole world and identifies units at four levels, firstly continental, secondly regional (or subcontinental), thirdly at what may be called “Botanical Country” level (which may often ignore purely political considerations), and fourthly at a slightly lower level called “Basic Recording Units” where political integrity is fully recognised."
A Language for the Definition and Exchange of Biological Data Sets,http://rs.tdwg.org/xdf/doc/,http://rs.tdwg.org/xdf/doc/1992,application/pdf,1992,,,,,,Note: the article linked to the access uri does not seem to be the actual standard itself.  See reference number 16,https://doi.org/10.1016/0895-7177(92)90163-F,,http://www.tdwg.org/standards/108,"XDF (the Exchange Data Format) is a database file exchange medium to handle diverse classes of biological data required for file transfers between different database projects. Data sets prepared in XDF consists of text files that are effectively independent of any particular project. XDF is a high-level language for describing biological data, with its own syntax and command vocabulary, analogous to the high-level programming languages used to describe software algorithms. "
B-P-H/S: Botanico-Periodicum-Huntianum/Supplementum,http://rs.tdwg.org/bphsup/doc/book/,http://rs.tdwg.org/bphsup/doc/book/1991,print,1991,,,,,,Available only in print and is out of print. See http://huntbotanical.org/publications/show.php?=92. Contained additional entries and was a key to entries in it and in the first edition of B-P-H.,urn:isbn:0913196541,,http://www.tdwg.org/standards/114,"A supplement to and partial revision of B-P-H (1968), B-P-H/S: Botanico-Periodicum-Huntianum/Supplementum (1991) contains over 25,000 title entries arranged alphabetically by title and is designed as a key to entries in both volumes. It features citation abbreviations for all titles, improved cross-referencing and an expanded thesaurus of title words and their abbreviation equivalents. The supplement includes periodicals dealing with biotechnology, molecular biology, environmental studies and conservation. "
