document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdf_about,dcterms_issued,dcterms_modified,dwcattributes_status,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-13,Country-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Country,Country,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Country,The country or major political unit from which the specimen was collected. ISO 3166-1 (http://www.din.de/gremien/nas/nabd/iso3166ma/codlstp1/db_en.html) values should be used. Full country names are currently in use. A future recommendation is to use ISO3166-1 two letter codes or the full name when searching,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/Country/Name,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Country-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-17,Country-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Country,Country,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Country,"The full, unabbreviated name of the country or major political unit from which the cataloged item was collected.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/Country/Name,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Country-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Country-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-13,County-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/County,County,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,County,"The county (or shire, or next political region smaller than State / Province) from which the specimen was collected",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= County,,,http://digir.net/schema/conceptual/darwin/2003/1.0/County-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-17,County-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/County,County,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,County,"The full, unabbreviated name of the county, shire, or municipality (i.e., the next smaller political region than StateProvince) from which the cataloged item was collected.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= County,,,http://digir.net/schema/conceptual/darwin/2003/1.0/County-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/County-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-13,DateLastModified-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified,DateLastModified,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Date Last Modified,"ISO 8601 compliant stamp indicating the date and time in UTC(GMT) when the record was last modified. Example: the instant ""November 5, 1994, 8:15:30 am, US Eastern Standard Time"" would be represented as ""1994-11-05T13:15:30Z"" (see W3C Note on Date and Time Formats - http://www.w3.org/TR/NOTE-datetime). (What to do when this date-time is unknown? Use Date-Time first ""published""?)",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/DateLastEdited,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-17,DateLastModified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified,DateLastModified,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Date Last Modified,"ISO 8601 date and time in UTC(GMT) when the record was last modified. Example: ""November 5, 1994, 8:15:30 am, US Eastern Standard Time"" would be ""1994-11-05T13:15:30Z"" (see http://www.w3.org/TR/NOTE-datetime).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/DateLastEdited,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-13,DayCollected-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected,DayCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Day Collected,The day of the month the specimen was collected from the field. Possible value ranges from 01..31 inclusive,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-17,DayCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected,DayCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Day Collected,The two digit day of the month in the Common Era calendar during which the cataloged item was collected from the field.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,accessible from DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-13,DayIdentified-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified,DayIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Day Identified,The day portion of the date when the Collection Item was identified; as two digits [01..31].,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,accessible from DataSets/DataSet/Units/Unit/Identifications/Identification/Date/DateText,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-17,DayIdentified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified,DayIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Day Identified,The two digit day of the month in the Common Era calendar during which the cataloged item was identified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,accessible from DataSets/DataSet/Units/Unit/Identifications/Identification/Date/DateText,,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified-2003-06-13,,
